,CASE_STATUS,FULL_TIME,PREVAILING_WAGE,lat,lon
157,DENIED,1.0,33051.2,40.8447819,-73.86482679999997
158,WITHDRAWN,0.0,67184.0,29.7604267,-95.3698028
159,WITHDRAWN,1.0,60528.0,42.8678693,-71.4948322
160,DENIED,1.0,49358.0,33.19724650000001,-96.6397822
161,CERTIFIED,1.0,86320.0,30.267153000000004,-97.7430608
162,CERTIFIED-WITHDRAWN,0.0,67579.0,41.0534302,-73.53873409999999
163,DENIED,0.0,66040.0,32.715738,-117.1610838
164,CERTIFIED-WITHDRAWN,1.0,34715.0,40.8257625,-96.6851982
165,CERTIFIED-WITHDRAWN,1.0,72342.0,34.0522342,-118.24368490000002
166,CERTIFIED,1.0,78978.0,38.9822282,-94.6707917
167,DENIED,1.0,48963.2,38.882334,-77.17109140000002
168,CERTIFIED-WITHDRAWN,1.0,47900.0,30.267153000000004,-97.7430608
169,CERTIFIED-WITHDRAWN,1.0,69742.0,40.5695474,-74.6329363
170,CERTIFIED-WITHDRAWN,1.0,64730.0,40.6806563,-73.47429140000001
171,CERTIFIED-WITHDRAWN,1.0,125590.0,34.0522342,-118.24368490000002
172,CERTIFIED-WITHDRAWN,1.0,48950.0,34.683438200000005,-82.83736540000002
173,WITHDRAWN,1.0,92789.0,37.7749295,-122.4194155
174,CERTIFIED,1.0,38200.0,38.6270025,-90.1994042
175,CERTIFIED,1.0,89150.0,37.3541079,-121.9552356
176,CERTIFIED-WITHDRAWN,1.0,39000.0,41.8781136,-87.62979820000002
177,DENIED,1.0,56264.0,39.2903848,-76.6121893
178,CERTIFIED,1.0,92498.0,41.8781136,-87.62979820000002
179,WITHDRAWN,1.0,68765.0,45.2998418,-122.7737062
180,WITHDRAWN,1.0,59592.0,34.208254,-118.6058609
181,DENIED,1.0,197658.0,33.3942655,-104.5230242
182,DENIED,1.0,71490.0,33.4483771,-112.0740373
183,CERTIFIED,1.0,187199.0,34.274646000000004,-119.22903159999998
184,CERTIFIED-WITHDRAWN,1.0,103158.0,27.950575,-82.4571776
185,CERTIFIED,1.0,93413.0,35.99403289999999,-78.898619
186,CERTIFIED-WITHDRAWN,1.0,67392.0,35.7795897,-78.6381787
187,WITHDRAWN,1.0,58906.0,41.801141,-88.0747875
188,WITHDRAWN,1.0,109762.0,37.36883,-122.0363496
189,CERTIFIED-WITHDRAWN,1.0,196790.0,46.8771863,-96.7898034
190,CERTIFIED-WITHDRAWN,0.0,43077.0,41.6639383,-83.555212
191,CERTIFIED,1.0,93059.0,37.3382082,-121.88632859999998
192,CERTIFIED-WITHDRAWN,0.0,39850.61,39.7392358,-104.990251
193,CERTIFIED,1.0,70304.0,42.8142432,-73.93956870000002
194,DENIED,1.0,65083.0,40.5792701,-74.4115401
195,WITHDRAWN,1.0,64400.0,33.7489954,-84.3879824
196,WITHDRAWN,1.0,47486.0,40.6584068,-73.73895959999999
197,CERTIFIED-WITHDRAWN,1.0,59114.0,39.1429081,-94.5729781
198,WITHDRAWN,1.0,106184.0,37.7799273,-121.9780153
199,CERTIFIED-WITHDRAWN,1.0,56014.0,29.9510658,-90.0715323
200,DENIED,1.0,79394.0,43.4194699,-83.9508068
201,CERTIFIED-WITHDRAWN,1.0,64084.8,41.8781136,-87.62979820000002
202,CERTIFIED,1.0,73715.0,42.37648520000001,-71.2356113
203,DENIED,1.0,80350.0,33.4483771,-112.0740373
204,CERTIFIED,1.0,63086.0,41.0467635,-74.02291729999997
205,CERTIFIED-WITHDRAWN,1.0,53747.0,38.9071923,-77.03687070000002
206,CERTIFIED-WITHDRAWN,1.0,96138.0,37.7749295,-122.4194155
207,CERTIFIED-WITHDRAWN,1.0,52146.0,37.54826970000001,-121.9885719
208,WITHDRAWN,0.0,53518.0,40.497604,-74.4884868
209,WITHDRAWN,1.0,21798.4,40.7127837,-74.00594129999998
210,WITHDRAWN,1.0,39686.0,47.6062095,-122.33207079999998
211,DENIED,1.0,73091.2,39.64283620000001,-84.2866083
212,CERTIFIED,1.0,65083.0,37.6304904,-122.4110835
213,CERTIFIED,1.0,84739.0,47.6101497,-122.2015159
214,DENIED,1.0,40435.0,41.8781136,-87.62979820000002
215,CERTIFIED-WITHDRAWN,1.0,44949.0,40.7127837,-74.00594129999998
216,WITHDRAWN,1.0,67080.0,37.7749295,-122.4194155
217,CERTIFIED-WITHDRAWN,1.0,67163.0,35.899167799999994,-78.8636402
218,DENIED,1.0,44179.0,41.49932,-81.6943605
219,CERTIFIED-WITHDRAWN,0.0,48401.6,32.2217429,-110.926479
220,DENIED,1.0,67714.0,38.6581722,-77.24970490000003
221,CERTIFIED-WITHDRAWN,1.0,61464.0,32.96179,-96.8291685
222,CERTIFIED-WITHDRAWN,1.0,115000.0,37.3541079,-121.9552356
223,DENIED,1.0,73736.0,42.5792583,-71.4378411
224,DENIED,0.0,59092.8,34.0522342,-118.24368490000002
225,CERTIFIED,1.0,67122.0,38.5815719,-121.4943996
226,CERTIFIED,1.0,43618.0,39.1031182,-84.5120196
227,CERTIFIED,1.0,51854.0,41.0534302,-73.53873409999999
228,CERTIFIED,1.0,57054.0,39.2320029,-84.37827340000003
